,Equipe,Posse,#Jogada,Quarto,Down,Distance,Linha,Campo,Flag,Falta,Time,Jardas,1st down,3rd down,4th down,3&Out,Turnover,Jogada,QB,# Play,Yds,TD,Int,Inc,FF,#FF,FR,#FR,2-pts,FG,#FG,FG Yds,XP,#XP,TD ST,Sack,#Sack1,#Sack2,TFL,# TFL1,# TFL2,DFL,#DFL,D-FF,#D-FF,D-FR,#D-FR,D-Int,#D-Int,Tackle,#Tackle1,#Tackle2,TD - Def,#TD - Def,Safety,#Safety
70,Tigres,6.0,7.0,4.0,1.0,5.0,19,A,Sim,Offside,Capitains,5.0,Sim,,,,,Falta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Tigres,6.0,8.0,4.0,1.0,10.0,14,A,,,,,,,,,,Passe,11.0,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Tigres,6.0,9.0,4.0,2.0,10.0,14,A,,,,,,,,,,Corrida,11.0,31.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Tigres,6.0,10.0,4.0,3.0,6.0,10,A,,,,,,Sim,,,,Passe,11.0,87.0,19.0,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Tigres,6.0,,4.0,,,2,A,,,,,,,,,,2-pt,11.0,31.0,2.0,,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Tigres,,,,,,25,D,,,,,,,,,,Kickoff,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Capitains,6.0,1.0,4.0,1.0,10.0,35,D,,,,,,,,,,Passe,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Capitains,6.0,2.0,4.0,2.0,10.0,35,D,,,,,,,,,,Corrida,,,-20.0,,,,,,,,,,,,,,,,,,Sim,3.0,,,,,,,,,,,,,,,,
78,Capitains,6.0,3.0,4.0,3.0,30.0,15,D,,,,,,Sim,,,,Corrida,,,-2.0,,,,,,,,,,,,,,,,,,Sim,29.0,,,,,,,,,,,,,,,,
79,Capitains,6.0,4.0,4.0,4.0,32.0,13,D,,,,,,,,Sim,,Punt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Tigres,7.0,1.0,4.0,1.0,10.0,37,D,,,,,,,,,,Passe,11.0,84.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Tigres,7.0,2.0,4.0,2.0,3.0,37,A,,,,,,,,,,Passe,11.0,32.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Tigres,7.0,3.0,4.0,3.0,1.0,34,A,,,,,,,,,,Passe,11.0,32.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Tigres,7.0,4.0,4.0,1.0,10.0,29,A,,,,,,,,,,Passe,11.0,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Tigres,7.0,5.0,4.0,2.0,10.0,29,A,,,,,,,,,,Passe,11.0,31.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Tigres,7.0,6.0,4.0,3.0,10.0,29,A,,,,,Sim,Sim,,,,Corrida,11.0,11.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Tigres,7.0,7.0,4.0,1.0,10.0,14,A,,,,,,,,,,Passe,11.0,14.0,14.0,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Tigres,7.0,,4.0,,,2,A,,,,,,,,,,2-pt,11.0,84.0,2.0,,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,
